Sr.No,Institute Name,Institute Code,Program Name,Program Code,Quota,Category,Seat Pool,Vacancy
1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,OPEN,Gender-Neutral,3
2,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,OPEN,Female-only (including Supernumerary),2
3,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,GEN-EWS,Female-only (including Supernumerary),1
4,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,SC,Gender-Neutral,1
5,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,HS,ST,Gender-Neutral,1
6,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OPEN,Gender-Neutral,3
7,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OPEN,Female-only (including Supernumerary),2
8,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,GEN-EWS,Gender-Neutral,1
9,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OBC-NCL,Gender-Neutral,1
10,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,OBC-NCL(PwD),Gender-Neutral,1
11,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,SC,Gender-Neutral,1
12,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,SC,Female-only (including Supernumerary),1
13,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Bio Technology (4 Years, Bachelor of Technology)",4104,OS,ST,Gender-Neutral,1
14,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OPEN,Gender-Neutral,3
15,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OPEN,Female-only (including Supernumerary),1
16,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,OBC-NCL(PwD),Gender-Neutral,1
17,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,HS,SC,Female-only (including Supernumerary),2
18,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,OPEN,Gender-Neutral,3
19,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,SC,Female-only (including Supernumerary),1
20,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Chemical Engineering (4 Years, Bachelor of Technology)",4107,OS,SC (PwD),Gender-Neutral,1
21,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,OPEN,Gender-Neutral,3
22,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,HS,ST,Female-only (including Supernumerary),1
23,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,OPEN,Gender-Neutral,3
24,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",201,"Civil Engineering (4 Years, Bachelor of Technology)",4109,OS,SC,Gender-Neutral,1
